,accession,source_code,ribotype,c1
0,ERR3465419,ERR,722.0,100.0
1,ERR3465397,ERR,721.0,
2,ERR3465456,ERR,720.0,
3,ERR3465461,ERR,719.0,
4,ERR3465398,ERR,708.0,
5,ERR3465467,ERR,668.0,
6,ERR3465475,ERR,666.0,
7,ERR3465588,ERR,651.0,
8,ERR3465600,ERR,629.0,
9,ERR3465732,ERR,620.0,
10,ERR3465373,ERR,620.0,
11,ERR3465344,ERR,614.0,
12,ERR3465788,ERR,598.0,
13,ERR3465769,ERR,598.0,
14,ERR3465662,ERR,598.0,
15,ERR3465656,ERR,598.0,
16,ERR3465655,ERR,598.0,
17,ERR3465638,ERR,598.0,
18,ERR3465629,ERR,598.0,
19,ERR1854838,ERR,586.0,
20,ERR1854837,ERR,585.0,
21,ERR3465604,ERR,581.0,
22,ERR3465567,ERR,569.0,
23,ERR3465514,ERR,563.0,
24,ERR3465405,ERR,559.0,
25,ERR3465524,ERR,547.0,
26,ERR3465626,ERR,534.0,
27,ERR3465495,ERR,456.0,
28,ERR126288,ERR,454.0,
29,ERR3465517,ERR,453.0,
30,ERR3465478,ERR,451.0,
31,ERR3465446,ERR,449.0,
32,ERR3465436,ERR,449.0,
33,ERR3465525,ERR,446.0,
34,ERR3465432,ERR,446.0,
35,ERR3465778,ERR,413.0,
36,ERR3465773,ERR,413.0,
37,ERR3465770,ERR,413.0,
38,ERR3465765,ERR,413.0,
39,ERR3465745,ERR,413.0,
40,ERR3465742,ERR,413.0,
41,ERR3465740,ERR,413.0,
42,ERR3465737,ERR,413.0,
43,ERR3465715,ERR,413.0,
44,ERR3465712,ERR,413.0,
45,ERR3465708,ERR,413.0,
46,ERR3465705,ERR,413.0,
47,ERR3465653,ERR,413.0,
48,ERR126289,ERR,375.0,
49,SRR7308916,SRR,356.0,
50,SRR7309044,SRR,356.0,
51,SRR7309077,SRR,356.0,
52,SRR7309102,SRR,356.0,
53,SRR7308708,SRR,356.0,
54,SRR7308719,SRR,356.0,
55,SRR7308786,SRR,356.0,
56,SRR7308803,SRR,356.0,
57,ERR232386,ERR,336.0,
58,ERR3473850,ERR,328.0,
59,ERR3473820,ERR,328.0,
60,ERR126273,ERR,321.0,
61,ERR126267,ERR,316.0,
62,ERR126290,ERR,305.0,
