"accession","source_code","ribotype"
"ERR3465419","ERR",722
"ERR3465397","ERR",721
"ERR3465456","ERR",720
"ERR3465461","ERR",719
"ERR3465398","ERR",708
"ERR3465467","ERR",668
"ERR3465475","ERR",666
"ERR3465588","ERR",651
"ERR3465600","ERR",629
"ERR3465732","ERR",620
"ERR3465373","ERR",620
"ERR3465344","ERR",614
"ERR3465788","ERR",598
"ERR3465769","ERR",598
"ERR3465662","ERR",598
"ERR3465656","ERR",598
"ERR3465655","ERR",598
"ERR3465638","ERR",598
"ERR3465629","ERR",598
"ERR1854838","ERR",586
"ERR1854837","ERR",585
"ERR3465604","ERR",581
"ERR3465567","ERR",569
"ERR3465514","ERR",563
"ERR3465405","ERR",559
"ERR3465524","ERR",547
"ERR3465626","ERR",534
"ERR3465495","ERR",456
"ERR126288","ERR",454
"ERR3465517","ERR",453
"ERR3465478","ERR",451
"ERR3465446","ERR",449
"ERR3465436","ERR",449
"ERR3465525","ERR",446
"ERR3465432","ERR",446
"ERR3465778","ERR",413
"ERR3465773","ERR",413
"ERR3465770","ERR",413
"ERR3465765","ERR",413
"ERR3465745","ERR",413
"ERR3465742","ERR",413
"ERR3465740","ERR",413
"ERR3465737","ERR",413
"ERR3465715","ERR",413
"ERR3465712","ERR",413
"ERR3465708","ERR",413
"ERR3465705","ERR",413
"ERR3465653","ERR",413
"ERR126289","ERR",375
"SRR7308916","SRR",356
"SRR7309044","SRR",356
"SRR7309077","SRR",356
"SRR7309102","SRR",356
"SRR7308708","SRR",356
"SRR7308719","SRR",356
"SRR7308786","SRR",356
"SRR7308803","SRR",356
"ERR232386","ERR",336
"ERR3473850","ERR",328
"ERR3473820","ERR",328
"ERR126273","ERR",321
"ERR126267","ERR",316
"ERR126290","ERR",305
"ERR232401","ERR",290
"ERR232400","ERR",289
"ERR126254","ERR",284
"ERR126263","ERR",262
"ERR2215978","ERR",251
"SRR2751311","SRR",244
"SRR2751310","SRR",244
"SRR2751309","SRR",244
"SRR2751308","SRR",244
"SRR2751307","SRR",244
"SRR2751306","SRR",244
"SRR2751305","SRR",244
"SRR2751302","SRR",244
"ERR2215996","ERR",244
"ERR3465483","ERR",241
"ERR3465469","ERR",241
"ERR3465404","ERR",241
"ERR3465382","ERR",241
"ERR3465338","ERR",241
"ERR232396","ERR",239
"ERR1854841","ERR",239
"ERR1854833","ERR",238
"ERR3465596","ERR",236
"ERR3465426","ERR",236
"ERR3465370","ERR",236
"ERR3473860","ERR",226
"ERR3465482","ERR",225
"ERR833670","ERR",220
"ERR833669","ERR",220
"ERR3465553","ERR",220
"ERR3465349","ERR",220
"ERR3465581","ERR",212
"ERR126269","ERR",194
"ERR126271","ERR",193
"SRR7309148","SRR",176
"SRR7308880","SRR",176
"SRR7308940","SRR",176
"SRR7308956","SRR",176
"SRR7308985","SRR",176
"SRR7309085","SRR",176
"SRR7309097","SRR",176
"SRR7309134","SRR",176
"SRR7308625","SRR",176
"SRR7308631","SRR",176
"SRR7308660","SRR",176
"SRR7308694","SRR",176
"SRR7308771","SRR",176
"ERR3473813","ERR",158
"ERR3473764","ERR",157
"ERR3473758","ERR",156
"ERR126272","ERR",153
"ERR3473747","ERR",150
"ERR3473794","ERR",149
"ERR126291","ERR",138
"ERR126243","ERR",137
"ERR126251","ERR",129
"ERR232402","ERR",127
"SRR1519437","SRR",126
"ERR3473920","ERR",126
"ERR3473918","ERR",126
"ERR3473911","ERR",126
"ERR3473902","ERR",126
"ERR3473886","ERR",126
"ERR3473879","ERR",126
"ERR3473877","ERR",126
"ERR3473866","ERR",126
"ERR3473852","ERR",126
"ERR3473848","ERR",126
"ERR3473842","ERR",126
"ERR3473803","ERR",126
"ERR3465810","ERR",126
"ERR3465808","ERR",126
"ERR3465806","ERR",126
"ERR3465795","ERR",126
"ERR3465787","ERR",126
"ERR3465785","ERR",126
"ERR3465777","ERR",126
"ERR3465774","ERR",126
"ERR3465764","ERR",126
"ERR3465760","ERR",126
"ERR3465753","ERR",126
"ERR3465750","ERR",126
"ERR3465747","ERR",126
"ERR3465744","ERR",126
"ERR3465741","ERR",126
"ERR3465739","ERR",126
"ERR3465738","ERR",126
"ERR3465736","ERR",126
"ERR3465735","ERR",126
"ERR3465734","ERR",126
"ERR3465728","ERR",126
"ERR3465727","ERR",126
"ERR3465709","ERR",126
"ERR3465706","ERR",126
"ERR3465704","ERR",126
"ERR3465703","ERR",126
"ERR3465701","ERR",126
"ERR3465699","ERR",126
"ERR3465689","ERR",126
"ERR3465677","ERR",126
"ERR3465671","ERR",126
"ERR3465666","ERR",126
"ERR3465661","ERR",126
"ERR3465649","ERR",126
"ERR3465637","ERR",126
"ERR3465636","ERR",126
"ERR3465635","ERR",126
"ERR3465634","ERR",126
"ERR3465633","ERR",126
"ERR3465381","ERR",126
"ERR232399","ERR",125
"ERR3473808","ERR",117
"ERR126257","ERR",106
"ERR126253","ERR",106
"ERR3473905","ERR",106
"ERR3473898","ERR",106
"ERR3473894","ERR",106
"ERR3473882","ERR",106
"ERR3473867","ERR",106
"ERR3473856","ERR",106
"ERR3473855","ERR",106
"ERR3473840","ERR",106
