id,ribotype
0,['063/1']
1,['176']
2,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
3,['029']
4,['063/1']
5,['542']
6,"['176', 'StrainCD196', '519', 'CloneB-12', '012', 'CloneA-15']"
7,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-7', 'CloneAT-8', 'AI5', 'CloneAT-9', '126']"
8,['126']
9,['CloneAT-11']
10,['484']
11,['434']
12,['012']
13,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneB-14', 'CloneAT-3', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
14,"['AI-56', '444', '063']"
15,['029']
16,"['251', '063/1']"
17,"['176', 'StrainCD196', '519', '012', 'CloneA-15']"
18,['176']
19,['StrainCD196']
20,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
21,['CloneB-14']
22,['029']
23,['247']
24,['012']
25,"['029', '066', '078', '078ecdc', 'CloneB-14', '251', '063/1', '434', '444', '012', '078/4', '066/2', '045', '484', '045/1', '033', '247', '542', '027', 'CloneAT-7', 'CloneAT-8', '126']"
26,"['176', '029', 'Strain027', 'CloneA-15', 'CloneAT-3', 'AI-56', '434', '444', '012', '441/3', 'CloneA-6', 'CloneAT-16', '524', '519', '001', 'CloneAT-14', '063', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneB-12', 'AI5', 'CloneAT-9']"
27,['519']
28,['063/1']
29,['542']
30,"['176', 'StrainCD196', '519', 'CloneB-12', '012', 'CloneA-15']"
31,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-7', 'CloneAT-8', 'AI5', 'CloneAT-9', '126']"
32,['126']
33,['CloneAT-11']
34,['484']
35,['063/1']
36,"['066/2', '251', '045/1', '033', '078', '126', '078/4', '078ecdc']"
37,['045/1']
38,['066']
39,['StrainCD196']
40,"['AI-56', '063', '247', '542', '444', '012']"
41,['444']
42,['247']
43,['029']
44,['Strain630']
45,"['AI5', '176', 'CloneB-14', '524', '519', '029', '063', '247', '434', '542', 'Strain027', '444', 'CloneB-12', '012']"
46,['247']
47,['434']
48,['012']
49,"['176', '029', '066', 'Strain027', 'CloneA-15', '078ecdc', 'CloneB-14', 'CloneAT-3', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
50,"['066', '251', '045/1', '063/1', '078']"
51,"['AI-56', '444', '063']"
52,['542']
53,['AI5']
54,['029']
55,"['251', '063/1']"
56,"['029', '066', '078', 'CloneA-15', '078ecdc', '251', '063/1', '434', '012', '078/4', '441/3', '066/2', '524', '519', '484', '045/1', '001', 'Strain630', '247', '542', '027', 'CloneB-11', 'StrainCD196', '126']"
