id,ribotype
0,['063/1']
1,['176']
2,"['012', '012', '012', '012', '012', '012', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1']"
3,['029']
4,['063/1']
5,['542']
6,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', '176', 'CloneA-6', '078', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
7,"['027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '251', '251', '434', '434', '441', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', 'AI-56', '045/1', 'Strain027', 'AI5', 'CloneB-14', 'CloneA-6', '078', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-9', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneB-11']"
8,['029']
9,"['063/1', '251']"
10,"['012', '519', '519', 'StrainCD196', '176', 'CloneA-15']"
11,['176']
12,['StrainCD196']
13,"['012', '012', '012', '012', '012', '012', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1']"
14,['029']
15,"['247', '247']"
16,"['012', '027', '029', '029', '033', '063/1', '247', '434', '434', '441/3', '444', '484', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '045/1', '045', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', '176', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
17,['063/1']
18,['542']
