"accession","source_code","ribotype"
"ERR257014","ERR",78
"ERR257013","ERR",78
"ERR257011","ERR",78
"ERR257008","ERR",78
"ERR257006","ERR",78
"ERR257009","ERR",78
"ERR256988","ERR",78
"ERR256984","ERR",78
"ERR256914","ERR",78
"ERR256913","ERR",78
"ERR256896","ERR",78
"ERR171297","ERR",78
"ERR171296","ERR",78
"ERR171295","ERR",78
"ERR171292","ERR",78
"ERR171291","ERR",78
"ERR171286","ERR",78
"ERR171379","ERR",78
"ERR171377","ERR",78
"ERR171376","ERR",78
"ERR171372","ERR",78
"ERR171350","ERR",78
"ERR171308","ERR",78
"ERR171298","ERR",78
"ERR247120","ERR",78
"ERR247132","ERR",78
"ERR247127","ERR",78
"ERR247126","ERR",78
"ERR247124","ERR",78
"ERR247067","ERR",78
"ERR247057","ERR",78
"ERR247051","ERR",78
"ERR247048","ERR",78
"ERR247060","ERR",78
"ERR171243","ERR",78
"ERR171242","ERR",78
"ERR171240","ERR",78
"ERR171238","ERR",78
"ERR171236","ERR",78
"ERR171233","ERR",78
"ERR171230","ERR",78
"ERR171229","ERR",78
"ERR171228","ERR",78
"ERR171226","ERR",78
"ERR171223","ERR",78
"ERR171217","ERR",78
"ERR171216","ERR",78
"ERR171215","ERR",78
"ERR171211","ERR",78
"ERR171209","ERR",78
"ERR171207","ERR",78
"ERR171196","ERR",78
"ERR171195","ERR",78
"ERR027345","ERR",78
"ERR027351","ERR",78
"ERR027359","ERR",78
"SRR1519423","SRR",78
"SRR5365898","SRR",78
"SRR5365893","SRR",78
"SRR5365891","SRR",78
"SRR5410581","SRR",78
"SRR5410578","SRR",78
"SRR5410576","SRR",78
"SRR5410574","SRR",78
"SRR5410571","SRR",78
"SRR5410570","SRR",78
"SRR5410569","SRR",78
"SRR5410565","SRR",78
"SRR5410560","SRR",78
"SRR5410558","SRR",78
"SRR5410555","SRR",78
"SRR5410551","SRR",78
"SRR5410549","SRR",78
"SRR5410546","SRR",78
"SRR5410545","SRR",78
"SRR5410540","SRR",78
"SRR5410537","SRR",78
"SRR5410534","SRR",78
"SRR5410532","SRR",78
"SRR5410527","SRR",78
"SRR5410526","SRR",78
"SRR5410525","SRR",78
"SRR5410524","SRR",78
"SRR5410523","SRR",78
"SRR5410522","SRR",78
"SRR5410521","SRR",78
"SRR5410515","SRR",78
"SRR5410510","SRR",78
"SRR5410509","SRR",78
"SRR5410507","SRR",78
"SRR5410502","SRR",78
"SRR5410498","SRR",78
"SRR5410493","SRR",78
"SRR5410490","SRR",78
"SRR5410489","SRR",78
"SRR5410488","SRR",78
"SRR5410482","SRR",78
"SRR5410478","SRR",78
"SRR6042361","SRR",78
"SRR7308912","SRR",78
"SRR7308946","SRR",78
"SRR7308822","SRR",78
"ERR2232522","ERR",78
"ERR3465812","ERR",78
"ERR3465811","ERR",78
"ERR3465807","ERR",78
"ERR3465801","ERR",78
"ERR3465790","ERR",78
"ERR3465784","ERR",78
"ERR3465775","ERR",78
"ERR3465771","ERR",78
"ERR3465762","ERR",78
"ERR3465761","ERR",78
"ERR3465758","ERR",78
"ERR3465721","ERR",78
"ERR3465719","ERR",78
"ERR3465711","ERR",78
"ERR3465710","ERR",78
"ERR3465707","ERR",78
"ERR3465697","ERR",78
"ERR3465694","ERR",78
"ERR3465682","ERR",78
"ERR3465681","ERR",78
"ERR3465680","ERR",78
"ERR3465667","ERR",78
"ERR3465657","ERR",78
"ERR3465651","ERR",78
"ERR3465650","ERR",78
"ERR3465644","ERR",78
"ERR3465640","ERR",78
"ERR3465605","ERR",78
"ERR3465445","ERR",78
"SRR6009126","SRR",78
"SRR6009205","SRR",78
"SRR6009199","SRR",78
"SRR6009035","SRR",78
"SRR6009720","SRR",78
"SRR6009614","SRR",78
"SRR6009049","SRR",78
"SRR6009703","SRR",78
"SRR6009339","SRR",78
"SRR6009360","SRR",78
"SRR6009316","SRR",78
"SRR6009863","SRR",78
"SRR6009051","SRR",78
"SRR6009609","SRR",78
"SRR6009631","SRR",78
"SRR6009564","SRR",78
"SRR6009183","SRR",78
"SRR6009637","SRR",78
"SRR7308674","SRR",78
"SRR7308726","SRR",78
"SRR7308867","SRR",78
"SRR7308938","SRR",78
"SRR7309025","SRR",78
"SRR3355882","SRR",78
"SRR3336003","SRR",78
"SRR3356145","SRR",78
"SRR3355851","SRR",78
"SRR3356134","SRR",78
"SRR3356130","SRR",78
"SRR3357928","SRR",78
"SRR3356196","SRR",78
"SRR3335887","SRR",78
"SRR3338679","SRR",78
"SRR3356273","SRR",78
"SRR3357871","SRR",78
"SRR3335558","SRR",78
"SRR3355407","SRR",78
"SRR3357527","SRR",78
"SRR3355863","SRR",78
"SRR3356240","SRR",78
"SRR3338148","SRR",78
"SRR3356183","SRR",78
"SRR3356296","SRR",78
"SRR3356284","SRR",78
"SRR3358298","SRR",78
"SRR3356335","SRR",78
"SRR3356280","SRR",78
"SRR3357849","SRR",78
"SRR3338253","SRR",78
"SRR3335992","SRR",78
"SRR3335476","SRR",78
"SRR3335836","SRR",78
"SRR3335534","SRR",78
"SRR3335217","SRR",78
"SRR3339385","SRR",78
"SRR3338247","SRR",78
"SRR3629506","SRR",78
"SRR3629622","SRR",78
"SRR3629733","SRR",78
"SRR3338658","SRR",78
"SRR3338800","SRR",78
"ERR347791","ERR",78
"ERR347779","ERR",78
"ERR347615","ERR",78
"ERR347928","ERR",78
"SRR9596113","SRR",78
"SRR3630402","SRR",78
"SRR3630562","SRR",78
"ERS138026","ERS",78
"ERS138031","ERS",78
"ERS138033","ERS",78
"ERS138034","ERS",78
"ERS138035","ERS",78
"ERS138037","ERS",78
"ERS138038","ERS",78
"ERS138044","ERS",78
"ERS138048","ERS",78
"ERS138051","ERS",78
"ERS138053","ERS",78
"ERS138056","ERS",78
"ERS138063","ERS",78
"ERS199787","ERS",78
"ERS199791","ERS",78
"ERS199792","ERS",78
"ERS199799","ERS",78
"ERS199801","ERS",78
"ERS199805","ERS",78
"ERS199806","ERS",78
"ERS199814","ERS",78
"ERS362924","ERS",78
"ERR833663","ERR",27
"ERR928289","ERR",27
"ERR928310","ERR",27
