"X.","Enterobase","Paper","Overall"
"","(N=3423)","(N=4655)","(N=8078)"
"ribotype_class","","",""
"  1","235 (6.9%)","184 (4.0%)","419 (5.2%)"
"  2","156 (4.6%)","262 (5.6%)","418 (5.2%)"
"  3","15 (0.4%)","35 (0.8%)","50 (0.6%)"
"  4","0 (0%)","1 (0.0%)","1 (0.0%)"
"  5","92 (2.7%)","164 (3.5%)","256 (3.2%)"
"  6","1 (0.0%)","2 (0.0%)","3 (0.0%)"
"  7","0 (0%)","2 (0.0%)","2 (0.0%)"
"  9","4 (0.1%)","15 (0.3%)","19 (0.2%)"
"  10","70 (2.0%)","63 (1.4%)","133 (1.6%)"
"  11","15 (0.4%)","41 (0.9%)","56 (0.7%)"
"  12","50 (1.5%)","52 (1.1%)","102 (1.3%)"
"  13","7 (0.2%)","28 (0.6%)","35 (0.4%)"
"  14","213 (6.2%)","309 (6.6%)","522 (6.5%)"
"  15","97 (2.8%)","303 (6.5%)","400 (5.0%)"
"  16","0 (0%)","1 (0.0%)","1 (0.0%)"
"  17","285 (8.3%)","27 (0.6%)","312 (3.9%)"
"  18","59 (1.7%)","93 (2.0%)","152 (1.9%)"
"  19","5 (0.1%)","5 (0.1%)","10 (0.1%)"
"  20","111 (3.2%)","194 (4.2%)","305 (3.8%)"
"  21","0 (0%)","6 (0.1%)","6 (0.1%)"
"  22","5 (0.1%)","5 (0.1%)","10 (0.1%)"
"  23","55 (1.6%)","101 (2.2%)","156 (1.9%)"
"  24","3 (0.1%)","4 (0.1%)","7 (0.1%)"
"  25","0 (0%)","1 (0.0%)","1 (0.0%)"
"  26","24 (0.7%)","92 (2.0%)","116 (1.4%)"
"  27","659 (19.3%)","843 (18.1%)","1502 (18.6%)"
"  29","10 (0.3%)","15 (0.3%)","25 (0.3%)"
"  31","2 (0.1%)","14 (0.3%)","16 (0.2%)"
"  32","2 (0.1%)","3 (0.1%)","5 (0.1%)"
"  33","12 (0.4%)","3 (0.1%)","15 (0.2%)"
"  35","2 (0.1%)","13 (0.3%)","15 (0.2%)"
"  36","1 (0.0%)","4 (0.1%)","5 (0.1%)"
"  37","1 (0.0%)","3 (0.1%)","4 (0.0%)"
"  38","0 (0%)","3 (0.1%)","3 (0.0%)"
"  39","10 (0.3%)","92 (2.0%)","102 (1.3%)"
"  40","0 (0%)","1 (0.0%)","1 (0.0%)"
"  42","4 (0.1%)","2 (0.0%)","6 (0.1%)"
"  43","5 (0.1%)","3 (0.1%)","8 (0.1%)"
"  44","2 (0.1%)","1 (0.0%)","3 (0.0%)"
"  45","3 (0.1%)","2 (0.0%)","5 (0.1%)"
"  46","5 (0.1%)","24 (0.5%)","29 (0.4%)"
"  47","0 (0%)","1 (0.0%)","1 (0.0%)"
"  49","9 (0.3%)","0 (0%)","9 (0.1%)"
"  50","18 (0.5%)","28 (0.6%)","46 (0.6%)"
"  51","1 (0.0%)","6 (0.1%)","7 (0.1%)"
"  52","0 (0%)","4 (0.1%)","4 (0.0%)"
"  53","9 (0.3%)","7 (0.2%)","16 (0.2%)"
"  54","9 (0.3%)","27 (0.6%)","36 (0.4%)"
"  55","0 (0%)","1 (0.0%)","1 (0.0%)"
"  56","15 (0.4%)","21 (0.5%)","36 (0.4%)"
"  57","1 (0.0%)","9 (0.2%)","10 (0.1%)"
"  58","1 (0.0%)","2 (0.0%)","3 (0.0%)"
"  59","0 (0%)","3 (0.1%)","3 (0.0%)"
"  60","1 (0.0%)","2 (0.0%)","3 (0.0%)"
"  62","2 (0.1%)","6 (0.1%)","8 (0.1%)"
"  63","1 (0.0%)","2 (0.0%)","3 (0.0%)"
"  64","1 (0.0%)","1 (0.0%)","2 (0.0%)"
"  66","4 (0.1%)","7 (0.2%)","11 (0.1%)"
