Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	PCR Ribotype	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number	No. N's	Assembly Barcode	Version
CLO_CA9865AA	SMG-22-1372	traces-0rBwKvQ;ILLUMINA;Paired;;NA;Uploaded								Europe	United Kingdom	Scotland						D. Brown (Scotland)	1062						2022-08-19	2022-08-19	CLO_CA9865AA	Assembled	142	563376	4213037	Clostridioides difficile;96.15%	52	89363	CLO_FA5146AA_AS	4.1
CLO_CA9453AA	SMG-22-1183	traces-0Dwesjt;ILLUMINA;Paired;;NA;Uploaded	Human	Human						Europe	United Kingdom	Scotland						D. Brown (Scotland)	1059	Ribotype 1059					2022-07-25	2022-07-25	CLO_CA9453AA	Assembled	158	186378	4189883	Clostridioides difficile;100.0%	98	7487	CLO_FA4580AA_AS	4.1
CLO_CA1829AA	SMG-20-800	traces-0hraNiQ;ILLUMINA;Paired;;NA;Uploaded	Human	Human		2020	4			Europe	United Kingdom	Scotland						SSSCDRL	975						2020-05-14	2020-05-14	CLO_CA1829AA	Assembled	159	324207	4233055	Clostridioides difficile;89.64%	57	31710	CLO_EA4245AA_AS	4.1
CLO_CA1929AA	SMG-20-1020	traces-0IXHOos;ILLUMINA;Paired;;NA;Uploaded	Human	Human		2020	6			Europe	United Kingdom	Scotland						SSSCDRL	975						2020-06-23	2020-06-23	CLO_CA1929AA	Assembled	206	230715	4216862	Clostridioides difficile;97.14%	60	31760	CLO_EA4551AA_AS	4.1
CLO_CA2081AA	SMG-20-1191	traces-0EjRKyA;ILLUMINA;Paired;;NA;Uploaded	Human	Human		2020	6			Europe	United Kingdom	Scotland						SSSCDRL	975						2020-08-07	2020-08-07	CLO_CA2081AA	Assembled	158	419027	4117222	Clostridioides difficile;96.3%	47	90406	CLO_EA5302AA_AS	4.1
CLO_CA2619AA	SMG-20-1370	traces-0NZpOaR;ILLUMINA;Paired;;NA;Uploaded	Human	Human						Europe	United Kingdom	Scotland						SSSCDRL	975						2020-08-24	2020-08-24	CLO_CA2619AA	Assembled	176	324207	4217513	Clostridioides difficile;96.66%	62	31193	CLO_EA5873AA_AS	4.1
CLO_CA1862AA	SMG-20-1015	traces-0IhGhbk;ILLUMINA;Paired;;NA;Uploaded	Human	Human		2020	6			Europe	United Kingdom	Scotland						SSSCDRL	820						2020-06-15	2020-06-15	CLO_CA1862AA	Assembled	53	170387	4172891	Clostridioides difficile;100.0%	87	12606	CLO_EA4436AA_AS	4.1
CLO_BA9973AA	CD-15-00729	ERR3465419;ILLUMINA;Paired;125;ERX3487097;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	722		PRJEB33779	ERP116599	SAMEA5843163	ERS3631710	2020-02-03	2020-01-31	CLO_BA9973AA	Assembled	161	295879	4130724	Clostridioides difficile;100.0%	59	27744	CLO_DA7573AA_AS	4.1
CLO_BA9995AA	CD-15-00704	ERR3465397;ILLUMINA;Paired;99;ERX3487075;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	721		PRJEB33779	ERP116599	SAMEA5843177	ERS3631724	2020-02-03	2020-01-31	CLO_BA9995AA	Assembled	149	138832	4217031	Clostridioides difficile;98.59%	76	64759	CLO_DA7551AA_AS	4.1
CLO_BA9936AA	CD-15-00882	ERR3465456;ILLUMINA;Paired;112;ERX3487134;SRA	Human	Human	Homo sapiens; stool sample	2014				Europe	Germany							Leibniz Institute DSMZ	720		PRJEB33779	ERP116599	SAMEA5843135	ERS3631682	2020-02-03	2020-01-31	CLO_BA9936AA	Assembled	159	217330	4081064	Clostridioides difficile;100.0%	63	11499	CLO_DA7610AA_AS	4.1
